点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
190,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,112弹簧未储能,112弹簧未储能
191,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112电机保护开关跳闸,112电机保护开关跳闸
192,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-5电机保护空开跳闸,112-5电机保护空开跳闸
193,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-5电机控制回路带电,112-5电机控制回路带电
194,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,112-5及-57运行,112-5及-57运行
195,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-5控制回路保护空开跳闸,112-5控制回路保护空开跳闸
196,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-5电机保护开关跳闸,145-5电机保护开关跳闸
197,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-5电机控制回路带电,145-5电机控制回路带电
198,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,145-5运行,145-5运行
199,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-5控制回路保护空开跳闸,145-5控制回路保护空开跳闸
200,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-4电机保护开关跳闸,145-4电机保护开关跳闸
201,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-4电机控制回路带电,145-4电机控制回路带电
202,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,145-4运行,145-4运行
203,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145-4控制回路保护空开跳闸,145-4控制回路保护空开跳闸
204,110kV,110kV145分段,145分段保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,110kV备自投145自投投入,110kV备自投145自投投入
205,110kV,110kV145分段,145分段保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,110kV备自投145互投投入,110kV备自投145互投投入
206,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV145备自投动作,110kV145备自投动作
207,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145自投跳电源1-111,110kV备投145自投跳电源1-111
208,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145自投跳电源2-112,110kV备投145自投跳电源2-112
209,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145自投合电源1-111,110kV备投145自投合电源1-111
210,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145自投合电源2-112,110kV备投145自投合电源2-112
211,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145自投合分段145,110kV备投145自投合分段145
212,110kV,110kV145分段,145分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,110kV备投145过流加速动作,110kV备投145过流加速动作
213,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,110kV备投145装置报警,110kV备投145装置报警
214,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,110kV备投145弹簧未储能,110kV备投145弹簧未储能
215,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145控制回路断线,110kV备投145控制回路断线
216,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145自投总闭锁,110kV备投145自投总闭锁
217,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145I母PT断线,110kV备投145I母PT断线
218,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145II母PT断线,110kV备投145II母PT断线
219,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,110kV备投145自投方式1充电,110kV备投145自投方式1充电
220,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,110kV备投145自投方式2充电,110kV备投145自投方式2充电
221,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,110kV备投145自投方式3充电,110kV备投145自投方式3充电
222,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,110kV备投145自投方式4充电,110kV备投145自投方式4充电
223,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145加热照明空开跳闸,110kV备投145加热照明空开跳闸
224,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,110kV备投145加热器故障,110kV备投145加热器故障
225,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145SF6压力低报警,145SF6压力低报警
226,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145SF6压力低闭锁,145SF6压力低闭锁
227,110kV,110kV145分段,145开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,145电机保护空开跳闸,145电机保护空开跳闸
228,110kV,1号主变公用,1号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护I低压侧电压退出,#1主变保护I低压侧电压退出
229,110kV,1号主变公用,1号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护I中压侧电压退出,#1主变保护I中压侧电压退出
230,110kV,1号主变公用,1号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护I高压侧电压退出,#1主变保护I高压侧电压退出
231,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I差动速断,#1主变保护I差动速断
232,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I比率差动,#1主变保护I比率差动
233,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I高压侧过流I段第一时限,#1主变保护I高压侧过流I段第一时限
234,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I高压侧零序过流III段第一时限,#1主变保护I高压侧零序过流III段第一时限
235,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I高压侧零序过压第一时限,#1主变保护I高压侧零序过压第一时限
236,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I高压侧间隙零序过流第一时限,#1主变保护I高压侧间隙零序过流第一时限
237,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧过负荷I段,#1主变保护I高压侧过负荷I段
238,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧过载闭锁调压,#1主变保护I高压侧过载闭锁调压
239,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I中压侧过流I段第一时限,#1主变保护I中压侧过流I段第一时限
240,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I中压侧过负荷I段,#1主变保护I中压侧过负荷I段
241,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I低压侧过流I段第一时限,#1主变保护I低压侧过流I段第一时限
242,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I低压侧过流II段第一时限,#1主变保护I低压侧过流II段第一时限
243,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I低压侧过负荷,#1主变保护I低压侧过负荷
244,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧1支路TA异常,#1主变保护I高压侧1支路TA异常
245,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧2支路TA异常,#1主变保护I高压侧2支路TA异常
246,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I中压侧TA异常,#1主变保护I中压侧TA异常
247,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I低压侧TA异常,#1主变保护I低压侧TA异常
248,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧TV异常,#1主变保护I高压侧TV异常
249,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I中压侧TV异常,#1主变保护I中压侧TV异常
250,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I低压侧TV异常,#1主变保护I低压侧TV异常
251,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I高压侧复压启动,#1主变保护I高压侧复压启动
252,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I中压侧复压启动,#1主变保护I中压侧复压启动
253,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I低压侧复压启动,#1主变保护I低压侧复压启动
254,110kV,1号主变公用,1号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护II低压侧电压退出,#1主变保护II低压侧电压退出
255,110kV,1号主变公用,1号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护II中压侧电压退出,#1主变保护II中压侧电压退出
256,110kV,1号主变公用,1号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#1主变保护II高压侧电压退出,#1主变保护II高压侧电压退出
257,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II差动速断,#1主变保护II差动速断
258,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II比率差动,#1主变保护II比率差动
259,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II高压侧过流I段第一时限,#1主变保护II高压侧过流I段第一时限
260,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II高压侧零序过流III段第一时限,#1主变保护II高压侧零序过流III段第一时限
261,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II高压侧零序过压第一时限,#1主变保护II高压侧零序过压第一时限
262,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II高压侧间隙零序过流第一时限,#1主变保护II高压侧间隙零序过流第一时限
263,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧过负荷I段,#1主变保护II高压侧过负荷I段
264,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧过载闭锁调压,#1主变保护II高压侧过载闭锁调压
265,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II中压侧过流I段第一时限,#1主变保护II中压侧过流I段第一时限
266,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II中压侧过负荷I段,#1主变保护II中压侧过负荷I段
267,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II低压侧过流I段第一时限,#1主变保护II低压侧过流I段第一时限
268,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II低压侧过流II段第一时限,#1主变保护II低压侧过流II段第一时限
269,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II低压侧过负荷,#1主变保护II低压侧过负荷
270,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧1支路TA异常,#1主变保护II高压侧1支路TA异常
271,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧2支路TA异常,#1主变保护II高压侧2支路TA异常
272,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II中压侧TA异常,#1主变保护II中压侧TA异常
273,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II低压侧TA异常,#1主变保护II低压侧TA异常
274,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧TV异常,#1主变保护II高压侧TV异常
275,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II中压侧TV异常,#1主变保护II中压侧TV异常
276,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II低压侧TV异常,#1主变保护II低压侧TV异常
277,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II高压侧复压启动,#1主变保护II高压侧复压启动
278,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II中压侧复压启动,#1主变保护II中压侧复压启动
279,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II低压侧复压启动,#1主变保护II低压侧复压启动
280,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I高后备动作,#1主变保护I高后备动作
281,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I中后备动作,#1主变保护I中后备动作
282,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I低后备动作,#1主变保护I低后备动作
283,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I装置报警,#1主变保护I装置报警
284,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#1主变本体油位低,#1主变本体油位低
